execTime = 0; time = 0
execTime = 0.122535; time = 0.122535
execTime = 0.0136444; time = 0.136179

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed
execTime = 0.0130016; time = 0.149181
execTime = 0.0139848; time = 0.163166
execTime = 0.0132734; time = 0.176439

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed
execTime = 0.0134596; time = 0.189899

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(Original:29155): GLib-GObject-CRITICAL **: g_object_unref: assertion 'G_IS_OBJECT (object)' failed
execTime = 0.0185579; time = 0.208456
execTime = 0.0144681; time = 0.222925
execTime = 0.0142334; time = 0.237158
execTime = 0.0131611; time = 0.250319
execTime = 0.0125569; time = 0.262876
execTime = 0.0135762; time = 0.276452
execTime = 0.0140778; time = 0.29053
execTime = 0.0139161; time = 0.304446
execTime = 0.01371; time = 0.318156
execTime = 0.0149606; time = 0.333117
execTime = 0.0152229; time = 0.34834
execTime = 0.0147882; time = 0.363128
execTime = 0.0144368; time = 0.377565
execTime = 0.0139835; time = 0.391548
execTime = 0.0145146; time = 0.406063
execTime = 0.0151212; time = 0.421184
execTime = 0.0148875; time = 0.436071
execTime = 0.0143256; time = 0.450397
execTime = 0.0139533; time = 0.46435
execTime = 0.0147244; time = 0.479075
execTime = 0.014711; time = 0.493786
execTime = 0.0142192; time = 0.508005
execTime = 0.014735; time = 0.52274
execTime = 0.0138588; time = 0.536599
execTime = 0.0151085; time = 0.551707
execTime = 0.0153562; time = 0.567063
execTime = 0.0156069; time = 0.58267
execTime = 0.0154732; time = 0.598143
execTime = 0.0153181; time = 0.613462
execTime = 0.0150874; time = 0.628549
execTime = 0.0158438; time = 0.644393
execTime = 0.0153186; time = 0.659711
execTime = 0.015896; time = 0.675607
execTime = 0.0154298; time = 0.691037
execTime = 0.0150986; time = 0.706136
execTime = 0.016458; time = 0.722594
execTime = 0.0155576; time = 0.738151
execTime = 0.0160541; time = 0.754206
execTime = 0.0153029; time = 0.769508
execTime = 0.0157822; time = 0.785291
execTime = 0.0153594; time = 0.80065
execTime = 0.0155541; time = 0.816204
execTime = 0.0159141; time = 0.832118
execTime = 0.0157355; time = 0.847854
execTime = 0.0155936; time = 0.863447
execTime = 0.0151384; time = 0.878586
execTime = 0.0158164; time = 0.894402
execTime = 0.0146372; time = 0.909039
execTime = 0.0137739; time = 0.922813
execTime = 0.0154141; time = 0.938227
execTime = 0.0155649; time = 0.953792
execTime = 0.01464; time = 0.968432
execTime = 0.0148848; time = 0.983317
execTime = 0.0145902; time = 0.997907
execTime = 0.0147728; time = 1.01268
execTime = 0.0145725; time = 1.02725
execTime = 0.0144375; time = 1.04169
execTime = 0.0139223; time = 1.05561
execTime = 0.0137699; time = 1.06938
execTime = 0.0139622; time = 1.08334
execTime = 0.0146573; time = 1.098
execTime = 0.0140461; time = 1.11205
execTime = 0.0136058; time = 1.12565
execTime = 0.0144239; time = 1.14008
execTime = 0.0142464; time = 1.15432
